"LOCATION" "FINAL_MARGIN" "SHOT_NUMBER" "PERIOD" "DRIBBLES" "TOUCH_TIME" "SHOT_DIST" "PTS_TYPE" "SHOT_RESULT" "CLOSE_DEF_DIST"
"1" "H" 19 1 1 0 0.6 25.2 3 "missed" 4.1
"2" "H" 19 2 1 0 1 1.2 2 "made" 5.3
"3" "H" 19 3 1 7 5.2 27.5 3 "missed" 4.7
"4" "H" 19 4 1 0 0.9 24.4 3 "made" 5.8
"5" "H" 19 5 1 5 5 23.4 3 "made" 3.2
"6" "H" 19 6 1 0 0.7 26.6 3 "made" 4.7
"7" "H" 19 7 3 12 9.3 26.3 3 "missed" 6.1
"8" "A" 19 1 1 0 1 23.2 3 "made" 6.3
"9" "A" 19 2 1 8 6.3 24.5 3 "made" 4.8
"10" "A" 19 3 1 0 0.9 24.3 3 "made" 2.1
"11" "A" 19 4 1 0 0.8 27.7 3 "made" 11.7
"12" "A" 19 5 1 4 3.1 27 3 "missed" 4.2
"13" "A" 19 6 1 7 7.2 25.1 3 "made" 5.9
"14" "A" 19 7 1 3 2.7 2.6 2 "missed" 1.6
"15" "A" 19 8 2 1 1.8 24.9 3 "made" 3.5
"16" "A" 19 9 2 5 4 6.1 2 "made" 3
"17" "A" 19 10 2 2 3.9 28.7 3 "made" 5
"18" "A" 19 11 2 5 5 28.7 3 "missed" 3.7
"19" "A" 19 12 3 4 3.2 28.8 3 "missed" 4.9
"20" "A" 19 13 3 0 0.5 5.4 2 "made" 2
"21" "A" 19 14 3 8 4.6 24.8 3 "missed" 5.6
"22" "A" 19 15 3 2 2.2 3.5 2 "missed" 2.3
"23" "A" 19 16 3 0 1 23.9 3 "made" 6.6
"24" "A" 19 17 3 0 0.4 23.7 3 "missed" 5.3
"25" "A" 19 18 3 0 0.9 24 3 "made" 6.7
"26" "A" 19 19 3 4 3.4 25.7 3 "missed" 5.7
"27" "A" 19 20 3 4 2.8 41.7 3 "missed" 6
"28" "H" 34 1 1 12 8.3 24.7 3 "missed" 4
"29" "H" 34 2 1 0 0.9 23.2 3 "made" 8
"30" "H" 34 3 1 0 0 24.8 3 "missed" 3.8
"31" "H" 34 4 1 4 3.5 4.4 2 "made" 5.7
"32" "H" 34 5 1 0 0.8 25.7 3 "missed" 7.7
"33" "H" 34 6 1 9 8.4 18.4 2 "missed" 5.5
"34" "H" 34 7 1 0 0.6 24.3 3 "made" 4.2
"35" "H" 34 8 1 0 0.7 25.1 3 "missed" 4.6
"36" "H" 34 9 2 2 2.8 15 2 "made" 2.4
